last_day_of_the_week,average_precip,week,year,State,City
2010-05-16,0.02142857142857143,19,2010,GA,Atlanta
2010-05-23,0.1657142857142857,20,2010,GA,Atlanta
2010-05-30,0.38428571428571423,21,2010,GA,Atlanta
2010-06-06,0.2342857142857143,22,2010,GA,Atlanta
2010-06-13,0.10714285714285714,23,2010,GA,Atlanta
2010-06-20,0.10285714285714286,24,2010,GA,Atlanta
2010-06-27,0.0014285714285714286,25,2010,GA,Atlanta
2010-07-04,0.3014285714285715,26,2010,GA,Atlanta
2010-07-11,0.015714285714285715,27,2010,GA,Atlanta
2010-07-18,0.35714285714285715,28,2010,GA,Atlanta
2010-07-25,0.22,29,2010,GA,Atlanta
2010-08-01,0.07714285714285715,30,2010,GA,Atlanta
2010-08-08,0.07571428571428572,31,2010,GA,Atlanta
2010-08-15,0.06571428571428571,32,2010,GA,Atlanta
2010-08-22,0.15,33,2010,GA,Atlanta
2010-08-29,0.1657142857142857,34,2010,GA,Atlanta
2010-09-05,0.0,35,2010,GA,Atlanta
2010-09-12,0.008571428571428572,36,2010,GA,Atlanta
2010-09-19,0.0,37,2010,GA,Atlanta
2010-09-26,0.17285714285714285,38,2010,GA,Atlanta
2010-10-03,0.045714285714285714,39,2010,GA,Atlanta
2010-10-10,0.0,40,2010,GA,Atlanta
2010-10-17,0.0014285714285714286,41,2010,GA,Atlanta
2010-10-24,0.01,42,2010,GA,Atlanta
2010-10-31,0.4714285714285714,43,2010,GA,Atlanta
2010-11-07,0.11714285714285715,44,2010,GA,Atlanta
2010-11-14,0.015714285714285715,45,2010,GA,Atlanta
2010-11-21,0.24285714285714288,46,2010,GA,Atlanta
2010-11-28,0.025714285714285714,47,2010,GA,Atlanta
2010-12-05,0.39285714285714285,48,2010,GA,Atlanta
2010-12-12,0.09142857142857143,49,2010,GA,Atlanta
2010-12-19,0.09142857142857143,50,2010,GA,Atlanta
2010-12-26,0.047142857142857146,51,2010,GA,Atlanta
2011-01-02,0.13142857142857142,52,2010,GA,Atlanta
2011-01-09,0.07714285714285715,1,2011,GA,Atlanta
2011-01-16,0.05142857142857143,2,2011,GA,Atlanta
2011-01-23,0.005714285714285714,3,2011,GA,Atlanta
2011-01-30,0.09999999999999999,4,2011,GA,Atlanta
2011-02-06,0.39428571428571424,5,2011,GA,Atlanta
2011-02-13,0.024285714285714282,6,2011,GA,Atlanta
2011-02-20,0.0,7,2011,GA,Atlanta
2011-02-27,0.06142857142857143,8,2011,GA,Atlanta
2011-03-06,0.2757142857142857,9,2011,GA,Atlanta
2011-03-13,0.23,10,2011,GA,Atlanta
2011-03-20,0.18857142857142858,11,2011,GA,Atlanta
2011-03-27,0.2928571428571428,12,2011,GA,Atlanta
2011-04-03,0.3228571428571429,13,2011,GA,Atlanta
2011-04-10,0.14857142857142858,14,2011,GA,Atlanta
2011-04-17,0.1742857142857143,15,2011,GA,Atlanta
2011-04-24,0.02,16,2011,GA,Atlanta
2011-05-01,0.09428571428571429,17,2011,GA,Atlanta
2011-05-08,0.1442857142857143,18,2011,GA,Atlanta
2011-05-15,0.0,19,2011,GA,Atlanta
2011-05-22,0.005714285714285714,20,2011,GA,Atlanta
2011-05-29,0.2671428571428572,21,2011,GA,Atlanta
2011-06-05,0.0,22,2011,GA,Atlanta
2011-06-12,0.0,23,2011,GA,Atlanta
2011-06-19,0.09714285714285716,24,2011,GA,Atlanta
2011-06-26,0.19428571428571426,25,2011,GA,Atlanta
2011-07-03,0.022857142857142857,26,2011,GA,Atlanta
2011-07-10,0.054285714285714284,27,2011,GA,Atlanta
2011-07-17,0.21714285714285714,28,2011,GA,Atlanta
2011-07-24,0.02,29,2011,GA,Atlanta
2011-07-31,0.09142857142857141,30,2011,GA,Atlanta
2011-08-07,0.14714285714285716,31,2011,GA,Atlanta
2011-08-14,0.03,32,2011,GA,Atlanta
2011-08-21,0.06285714285714286,33,2011,GA,Atlanta
2011-08-28,0.0014285714285714286,34,2011,GA,Atlanta
2011-09-04,0.03428571428571429,35,2011,GA,Atlanta
2011-09-11,0.09857142857142856,36,2011,GA,Atlanta
2011-09-18,0.0,37,2011,GA,Atlanta
2011-09-25,0.19142857142857145,38,2011,GA,Atlanta
2011-10-02,0.0014285714285714286,39,2011,GA,Atlanta
2011-10-09,0.0,40,2011,GA,Atlanta
2011-10-16,0.09999999999999999,41,2011,GA,Atlanta
2011-10-23,0.09285714285714286,42,2011,GA,Atlanta
2011-10-30,0.042857142857142864,43,2011,GA,Atlanta
2011-11-06,0.08142857142857142,44,2011,GA,Atlanta
2011-11-13,0.0071428571428571435,45,2011,GA,Atlanta
2011-11-20,0.09285714285714286,46,2011,GA,Atlanta
2011-11-27,0.07571428571428572,47,2011,GA,Atlanta
2011-12-04,0.09857142857142857,48,2011,GA,Atlanta
2011-12-11,0.1142857142857143,49,2011,GA,Atlanta
2011-12-18,0.0,50,2011,GA,Atlanta
2011-12-25,0.33428571428571424,51,2011,GA,Atlanta
2012-01-01,0.1757142857142857,52,2011,GA,Atlanta
2012-01-08,0.02142857142857143,1,2012,GA,Atlanta
2012-01-15,0.06714285714285714,2,2012,GA,Atlanta
2012-01-22,0.4642857142857143,3,2012,GA,Atlanta
2012-01-29,0.19142857142857145,4,2012,GA,Atlanta
2012-02-05,0.06999999999999999,5,2012,GA,Atlanta
2012-02-12,0.0,6,2012,GA,Atlanta
2012-02-19,0.16571428571428573,7,2012,GA,Atlanta
2012-02-26,0.028571428571428574,8,2012,GA,Atlanta
2012-03-04,0.4257142857142857,9,2012,GA,Atlanta
2012-03-11,0.07714285714285715,10,2012,GA,Atlanta
2012-03-18,0.009999999999999998,11,2012,GA,Atlanta
2012-03-25,0.0014285714285714286,12,2012,GA,Atlanta
2012-04-01,0.05,13,2012,GA,Atlanta
2012-04-08,0.0014285714285714286,14,2012,GA,Atlanta
2012-04-15,0.0,15,2012,GA,Atlanta
2012-04-22,0.3157142857142857,16,2012,GA,Atlanta
2012-04-29,0.0,17,2012,GA,Atlanta
2012-05-06,0.18857142857142858,18,2012,GA,Atlanta
2012-05-13,0.22285714285714286,19,2012,GA,Atlanta
2012-05-20,0.05285714285714286,20,2012,GA,Atlanta
2012-05-27,0.012857142857142857,21,2012,GA,Atlanta
2012-06-03,0.032857142857142856,22,2012,GA,Atlanta
2012-06-10,0.1757142857142857,23,2012,GA,Atlanta
2012-06-17,0.13428571428571429,24,2012,GA,Atlanta
2012-06-24,0.002857142857142857,25,2012,GA,Atlanta
2012-07-01,0.0,26,2012,GA,Atlanta
2012-07-08,0.24285714285714288,27,2012,GA,Atlanta
2012-07-15,0.1642857142857143,28,2012,GA,Atlanta
2012-07-22,0.04285714285714286,29,2012,GA,Atlanta
2012-07-29,0.004285714285714286,30,2012,GA,Atlanta
2012-08-05,0.15285714285714286,31,2012,GA,Atlanta
2012-08-12,0.03142857142857143,32,2012,GA,Atlanta
2012-08-19,0.14285714285714285,33,2012,GA,Atlanta
2012-08-26,0.12285714285714286,34,2012,GA,Atlanta
2012-09-02,0.13999999999999999,35,2012,GA,Atlanta
2012-09-09,0.017142857142857144,36,2012,GA,Atlanta
2012-09-16,0.03571428571428571,37,2012,GA,Atlanta
2012-09-23,0.048571428571428564,38,2012,GA,Atlanta
2012-09-30,0.08285714285714285,39,2012,GA,Atlanta
2012-10-07,0.26571428571428574,40,2012,GA,Atlanta
2012-10-14,0.0,41,2012,GA,Atlanta
2012-10-21,0.030000000000000002,42,2012,GA,Atlanta
2012-10-28,0.0,43,2012,GA,Atlanta
2012-11-04,0.0,44,2012,GA,Atlanta
2012-11-11,0.19285714285714287,45,2012,GA,Atlanta
2012-11-18,0.04285714285714286,46,2012,GA,Atlanta
2012-11-25,0.0,47,2012,GA,Atlanta
2012-12-02,0.002857142857142857,48,2012,GA,Atlanta
2012-12-09,0.008571428571428572,49,2012,GA,Atlanta
2012-12-16,0.27714285714285714,50,2012,GA,Atlanta
2012-12-23,0.09857142857142856,51,2012,GA,Atlanta
2012-12-30,0.4557142857142857,52,2012,GA,Atlanta
2013-01-06,0.1442857142857143,1,2013,GA,Atlanta
2013-01-13,0.012857142857142857,2,2013,GA,Atlanta
2013-01-20,0.31999999999999995,3,2013,GA,Atlanta
2013-01-27,0.0,4,2013,GA,Atlanta
2013-02-03,0.2357142857142857,5,2013,GA,Atlanta
2013-02-10,0.20285714285714285,6,2013,GA,Atlanta
2013-02-17,0.19714285714285715,7,2013,GA,Atlanta
2013-02-24,0.40714285714285714,8,2013,GA,Atlanta
2013-03-03,0.22142857142857145,9,2013,GA,Atlanta
2013-03-10,0.022857142857142857,10,2013,GA,Atlanta
2013-03-17,0.14714285714285716,11,2013,GA,Atlanta
2013-03-24,0.42142857142857143,12,2013,GA,Atlanta
2013-03-31,0.06999999999999999,13,2013,GA,Atlanta
2013-04-07,0.24714285714285714,14,2013,GA,Atlanta
2013-04-14,0.24428571428571427,15,2013,GA,Atlanta
2013-04-21,0.06,16,2013,GA,Atlanta
2013-04-28,0.25,17,2013,GA,Atlanta
2013-05-05,1.0,18,2013,GA,Atlanta
2013-05-12,0.02428571428571429,19,2013,GA,Atlanta
2013-05-19,0.1142857142857143,20,2013,GA,Atlanta
2013-05-26,0.0014285714285714286,21,2013,GA,Atlanta
2013-06-02,0.04857142857142858,22,2013,GA,Atlanta
2013-06-09,0.16142857142857142,23,2013,GA,Atlanta
2013-06-16,0.24285714285714285,24,2013,GA,Atlanta
2013-06-23,0.2542857142857143,25,2013,GA,Atlanta
2013-06-30,0.11142857142857143,26,2013,GA,Atlanta
2013-07-07,0.5342857142857144,27,2013,GA,Atlanta
2013-07-14,0.048571428571428564,28,2013,GA,Atlanta
2013-07-21,0.41857142857142854,29,2013,GA,Atlanta
2013-07-28,0.16714285714285718,30,2013,GA,Atlanta
2013-08-04,0.08,31,2013,GA,Atlanta
2013-08-11,0.051428571428571435,32,2013,GA,Atlanta
2013-08-18,0.27,33,2013,GA,Atlanta
2013-08-25,0.08714285714285715,34,2013,GA,Atlanta
2013-09-01,0.005714285714285714,35,2013,GA,Atlanta
2013-09-08,0.06857142857142857,36,2013,GA,Atlanta
2013-09-15,0.0,37,2013,GA,Atlanta
2013-09-22,0.24571428571428572,38,2013,GA,Atlanta
2013-09-29,0.07142857142857142,39,2013,GA,Atlanta
2013-10-06,0.29714285714285715,40,2013,GA,Atlanta
2013-10-13,0.018571428571428572,41,2013,GA,Atlanta
2013-10-20,0.032857142857142856,42,2013,GA,Atlanta
2013-10-27,0.0014285714285714286,43,2013,GA,Atlanta
2013-11-03,0.06999999999999999,44,2013,GA,Atlanta
2013-11-10,0.017142857142857144,45,2013,GA,Atlanta
2013-11-17,0.017142857142857144,46,2013,GA,Atlanta
2013-11-24,0.012857142857142857,47,2013,GA,Atlanta
2013-12-01,0.1442857142857143,48,2013,GA,Atlanta
2013-12-08,0.18000000000000002,49,2013,GA,Atlanta
2013-12-15,0.23857142857142857,50,2013,GA,Atlanta
2013-12-22,0.33428571428571424,51,2013,GA,Atlanta
2013-12-29,0.22142857142857145,52,2013,GA,Atlanta
2014-01-05,0.04428571428571428,1,2014,GA,Atlanta
2014-01-12,0.38,2,2014,GA,Atlanta
2014-01-19,0.019999999999999997,3,2014,GA,Atlanta
2014-01-26,0.0,4,2014,GA,Atlanta
2014-02-02,0.032857142857142856,5,2014,GA,Atlanta
2014-02-09,0.15142857142857144,6,2014,GA,Atlanta
2014-02-16,0.25285714285714284,7,2014,GA,Atlanta
2014-02-23,0.10428571428571429,8,2014,GA,Atlanta
2014-03-02,0.030000000000000002,9,2014,GA,Atlanta
2014-03-09,0.09285714285714286,10,2014,GA,Atlanta
2014-03-16,0.21857142857142858,11,2014,GA,Atlanta
2014-03-23,0.047142857142857146,12,2014,GA,Atlanta
2014-03-30,0.07999999999999999,13,2014,GA,Atlanta
2014-04-06,0.025714285714285714,14,2014,GA,Atlanta
2014-04-13,0.39142857142857146,15,2014,GA,Atlanta
2014-04-20,0.3428571428571429,16,2014,GA,Atlanta
2014-04-27,0.017142857142857144,17,2014,GA,Atlanta
2014-05-04,0.0642857142857143,18,2014,GA,Atlanta
2014-05-11,0.054285714285714284,19,2014,GA,Atlanta
2014-05-18,0.20285714285714287,20,2014,GA,Atlanta
2014-05-25,0.0,21,2014,GA,Atlanta
2014-06-01,0.06999999999999999,22,2014,GA,Atlanta
2014-06-08,0.15571428571428572,23,2014,GA,Atlanta
2014-06-15,0.23142857142857146,24,2014,GA,Atlanta
2014-06-22,0.05142857142857143,25,2014,GA,Atlanta
2014-06-29,0.1542857142857143,26,2014,GA,Atlanta
2014-07-06,0.1357142857142857,27,2014,GA,Atlanta
2014-07-13,0.16285714285714287,28,2014,GA,Atlanta
2014-07-20,0.3585714285714286,29,2014,GA,Atlanta
2014-07-27,0.11142857142857143,30,2014,GA,Atlanta
2014-08-03,0.018571428571428572,31,2014,GA,Atlanta
2014-08-10,0.5514285714285715,32,2014,GA,Atlanta
2014-08-17,0.028571428571428574,33,2014,GA,Atlanta
2014-08-24,0.13571428571428573,34,2014,GA,Atlanta
2014-08-31,0.11285714285714286,35,2014,GA,Atlanta
2014-09-07,0.07571428571428572,36,2014,GA,Atlanta
2014-09-14,0.0071428571428571435,37,2014,GA,Atlanta
2014-09-21,0.002857142857142857,38,2014,GA,Atlanta
2014-09-28,0.009999999999999998,39,2014,GA,Atlanta
2014-10-05,0.12142857142857143,40,2014,GA,Atlanta
2014-10-12,0.01,41,2014,GA,Atlanta
2014-10-19,0.36,42,2014,GA,Atlanta
2014-10-26,0.0,43,2014,GA,Atlanta
2014-11-02,0.022857142857142857,44,2014,GA,Atlanta
2014-11-09,0.004285714285714286,45,2014,GA,Atlanta
2014-11-16,0.12142857142857143,46,2014,GA,Atlanta
2014-11-23,0.4242857142857143,47,2014,GA,Atlanta
2014-11-30,0.0,48,2014,GA,Atlanta
2014-12-07,0.05,49,2014,GA,Atlanta
2014-12-14,0.0,50,2014,GA,Atlanta
2014-12-21,0.054285714285714284,51,2014,GA,Atlanta
2014-12-28,0.5842857142857143,52,2014,GA,Atlanta
2015-01-04,0.4228571428571429,1,2015,GA,Atlanta
2015-01-11,0.011428571428571429,2,2015,GA,Atlanta
2015-01-18,0.045714285714285714,3,2015,GA,Atlanta
2015-01-25,0.16142857142857145,4,2015,GA,Atlanta
2015-02-01,0.0642857142857143,5,2015,GA,Atlanta
2015-02-08,0.0642857142857143,6,2015,GA,Atlanta
2015-02-15,0.04857142857142858,7,2015,GA,Atlanta
2015-02-22,0.25142857142857145,8,2015,GA,Atlanta
2015-03-01,0.17857142857142858,9,2015,GA,Atlanta
2015-03-08,0.07428571428571429,10,2015,GA,Atlanta
2015-03-15,0.04285714285714286,11,2015,GA,Atlanta
2015-03-22,0.20857142857142857,12,2015,GA,Atlanta
2015-03-29,0.011428571428571429,13,2015,GA,Atlanta
2015-04-05,0.22,14,2015,GA,Atlanta
2015-04-12,0.3071428571428571,15,2015,GA,Atlanta
2015-04-19,0.40571428571428575,16,2015,GA,Atlanta
2015-04-26,0.13142857142857142,17,2015,GA,Atlanta
2015-05-03,0.12285714285714286,18,2015,GA,Atlanta
2015-05-10,0.0,19,2015,GA,Atlanta
2015-05-17,0.05714285714285715,20,2015,GA,Atlanta
2015-05-24,0.16999999999999998,21,2015,GA,Atlanta
2015-05-31,0.40714285714285714,22,2015,GA,Atlanta
2015-06-07,0.03,23,2015,GA,Atlanta
2015-06-14,0.45142857142857146,24,2015,GA,Atlanta
2015-06-21,0.07714285714285715,25,2015,GA,Atlanta
2015-06-28,0.4185714285714286,26,2015,GA,Atlanta
2015-07-05,0.39999999999999997,27,2015,GA,Atlanta
2015-07-12,0.005714285714285714,28,2015,GA,Atlanta
2015-07-19,0.1457142857142857,29,2015,GA,Atlanta
2015-07-26,0.07428571428571429,30,2015,GA,Atlanta
2015-08-02,0.02,31,2015,GA,Atlanta
2015-08-09,0.017142857142857144,32,2015,GA,Atlanta
2015-08-16,0.008571428571428572,33,2015,GA,Atlanta
2015-08-23,0.7028571428571428,34,2015,GA,Atlanta
2015-08-30,0.09142857142857143,35,2015,GA,Atlanta
2015-09-06,0.06285714285714285,36,2015,GA,Atlanta
2015-09-13,0.1442857142857143,37,2015,GA,Atlanta
2015-09-20,0.0,38,2015,GA,Atlanta
2015-09-27,0.25,39,2015,GA,Atlanta
2015-10-04,0.21428571428571427,40,2015,GA,Atlanta
2015-10-11,0.11142857142857143,41,2015,GA,Atlanta
2015-10-18,0.004285714285714286,42,2015,GA,Atlanta
2015-10-25,0.0,43,2015,GA,Atlanta
2015-11-01,0.24428571428571427,44,2015,GA,Atlanta
2015-11-08,0.7914285714285715,45,2015,GA,Atlanta
2015-11-15,0.028571428571428574,46,2015,GA,Atlanta
2015-11-22,0.14857142857142858,47,2015,GA,Atlanta
2015-11-29,0.0,48,2015,GA,Atlanta
2015-12-06,0.02142857142857143,49,2015,GA,Atlanta
2015-12-13,0.0,50,2015,GA,Atlanta
2015-12-20,0.2742857142857143,51,2015,GA,Atlanta
2015-12-27,0.92,52,2015,GA,Atlanta
2016-01-03,0.45857142857142863,53,2015,GA,Atlanta
2016-01-10,0.09142857142857141,1,2016,GA,Atlanta
2016-01-17,0.22571428571428573,2,2016,GA,Atlanta
2016-01-24,0.38571428571428573,3,2016,GA,Atlanta
2016-01-31,0.03142857142857143,4,2016,GA,Atlanta
2016-02-07,0.30428571428571427,5,2016,GA,Atlanta
2016-02-14,0.0,6,2016,GA,Atlanta
2016-02-21,0.23,7,2016,GA,Atlanta
2016-02-28,0.5185714285714286,8,2016,GA,Atlanta
2016-03-06,0.23428571428571426,9,2016,GA,Atlanta
2016-03-13,0.0,10,2016,GA,Atlanta
2016-03-20,0.0014285714285714286,11,2016,GA,Atlanta
2016-03-27,0.054285714285714284,12,2016,GA,Atlanta
2016-04-03,0.1942857142857143,13,2016,GA,Atlanta
2016-04-10,0.054285714285714284,14,2016,GA,Atlanta
2016-04-17,0.09714285714285716,15,2016,GA,Atlanta
2016-04-24,0.04428571428571428,16,2016,GA,Atlanta
2016-05-01,0.12428571428571429,17,2016,GA,Atlanta
2016-05-08,0.002857142857142857,18,2016,GA,Atlanta
2016-05-15,0.008571428571428572,19,2016,GA,Atlanta
2016-05-22,0.13714285714285715,20,2016,GA,Atlanta
2016-05-29,0.0,21,2016,GA,Atlanta
2016-06-05,0.012857142857142857,22,2016,GA,Atlanta
2016-06-12,0.15,23,2016,GA,Atlanta
2016-06-19,0.17285714285714285,24,2016,GA,Atlanta
2016-06-26,0.04,25,2016,GA,Atlanta
2016-07-03,0.08,26,2016,GA,Atlanta
2016-07-10,0.22571428571428573,27,2016,GA,Atlanta
2016-07-17,0.004285714285714286,28,2016,GA,Atlanta
2016-07-24,0.06285714285714286,29,2016,GA,Atlanta
2016-07-31,0.22285714285714286,30,2016,GA,Atlanta
2016-08-07,0.07571428571428572,31,2016,GA,Atlanta
2016-08-14,0.06571428571428571,32,2016,GA,Atlanta
2016-08-21,0.1842857142857143,33,2016,GA,Atlanta
2016-08-28,0.1142857142857143,34,2016,GA,Atlanta
2016-09-04,0.38,35,2016,GA,Atlanta
2016-09-11,0.0,36,2016,GA,Atlanta
2016-09-18,0.10142857142857142,37,2016,GA,Atlanta
2016-09-25,0.0,38,2016,GA,Atlanta
2016-10-02,0.008571428571428572,39,2016,GA,Atlanta
2016-10-09,0.018571428571428572,40,2016,GA,Atlanta
2016-10-16,0.004285714285714286,41,2016,GA,Atlanta
2016-10-23,0.0,42,2016,GA,Atlanta
2016-10-30,0.0,43,2016,GA,Atlanta
2016-11-06,0.0,44,2016,GA,Atlanta
2016-11-13,0.0,45,2016,GA,Atlanta
2016-11-20,0.0,46,2016,GA,Atlanta
2016-11-27,0.0,47,2016,GA,Atlanta
2016-12-04,0.5528571428571428,48,2016,GA,Atlanta
2016-12-11,0.15857142857142856,49,2016,GA,Atlanta
2016-12-18,0.028571428571428574,50,2016,GA,Atlanta
2016-12-25,0.0,51,2016,GA,Atlanta
2017-01-01,0.23142857142857146,52,2016,GA,Atlanta
2017-01-08,0.39428571428571424,1,2017,GA,Atlanta
2017-01-15,0.0,2,2017,GA,Atlanta
2017-01-22,0.5871428571428572,3,2017,GA,Atlanta
2017-01-29,0.06999999999999999,4,2017,GA,Atlanta
2017-02-05,0.017142857142857144,5,2017,GA,Atlanta
2017-02-12,0.11,6,2017,GA,Atlanta
2017-02-19,0.06857142857142857,7,2017,GA,Atlanta
2017-02-26,0.06285714285714286,8,2017,GA,Atlanta
2017-03-05,0.03142857142857143,9,2017,GA,Atlanta
2017-03-12,0.1842857142857143,10,2017,GA,Atlanta
2017-03-19,0.060000000000000005,11,2017,GA,Atlanta
2017-03-26,0.058571428571428566,12,2017,GA,Atlanta
2017-04-02,0.05714285714285715,13,2017,GA,Atlanta
2017-04-09,0.6857142857142857,14,2017,GA,Atlanta
2017-04-16,0.0,15,2017,GA,Atlanta
2017-04-23,0.12285714285714286,16,2017,GA,Atlanta
2017-04-30,0.012857142857142857,17,2017,GA,Atlanta
2017-05-07,0.14142857142857143,18,2017,GA,Atlanta
2017-05-14,0.025714285714285714,19,2017,GA,Atlanta
2017-05-21,0.09571428571428571,20,2017,GA,Atlanta
2017-05-28,0.3428571428571429,21,2017,GA,Atlanta
2017-06-04,0.16714285714285712,22,2017,GA,Atlanta
2017-06-11,0.21285714285714286,23,2017,GA,Atlanta
2017-06-18,0.14714285714285716,24,2017,GA,Atlanta
2017-06-25,0.40142857142857136,25,2017,GA,Atlanta
2017-07-02,0.29,26,2017,GA,Atlanta
2017-07-09,0.1457142857142857,27,2017,GA,Atlanta
2017-07-16,0.09571428571428571,28,2017,GA,Atlanta
2017-07-23,0.05857142857142857,29,2017,GA,Atlanta
2017-07-30,0.017142857142857144,30,2017,GA,Atlanta
2017-08-06,0.08,31,2017,GA,Atlanta
2017-08-13,0.5214285714285715,32,2017,GA,Atlanta
2017-08-20,0.004285714285714286,33,2017,GA,Atlanta
2017-08-27,0.0,34,2017,GA,Atlanta
2017-09-03,0.1842857142857143,35,2017,GA,Atlanta
2017-09-10,0.032857142857142856,36,2017,GA,Atlanta
2017-09-17,0.5514285714285714,37,2017,GA,Atlanta
2017-09-24,0.014285714285714287,38,2017,GA,Atlanta
2017-10-01,0.0,39,2017,GA,Atlanta
2017-10-08,0.21142857142857144,40,2017,GA,Atlanta
2017-10-15,0.06,41,2017,GA,Atlanta
2017-10-22,0.011428571428571429,42,2017,GA,Atlanta
2017-10-29,0.27,43,2017,GA,Atlanta
2017-11-05,0.005714285714285714,44,2017,GA,Atlanta
2017-11-12,0.09999999999999999,45,2017,GA,Atlanta
2017-11-19,0.04285714285714286,46,2017,GA,Atlanta
2017-11-26,0.0,47,2017,GA,Atlanta
2017-12-03,0.0,48,2017,GA,Atlanta
2017-12-10,0.23857142857142857,49,2017,GA,Atlanta
2017-12-17,0.03142857142857143,50,2017,GA,Atlanta
2017-12-24,0.33857142857142847,51,2017,GA,Atlanta
2017-12-31,0.017142857142857144,52,2017,GA,Atlanta
2018-01-07,0.0,1,2018,GA,Atlanta
2018-01-14,0.12142857142857144,2,2018,GA,Atlanta
2018-01-21,0.021428571428571432,3,2018,GA,Atlanta
2018-01-28,0.32,4,2018,GA,Atlanta
2018-02-04,0.22,5,2018,GA,Atlanta
2018-02-11,0.4657142857142857,6,2018,GA,Atlanta
2018-02-18,0.02,7,2018,GA,Atlanta
2018-02-25,0.05142857142857143,8,2018,GA,Atlanta
2018-03-04,0.14142857142857143,9,2018,GA,Atlanta
2018-03-11,0.24,10,2018,GA,Atlanta
2018-03-18,0.02,11,2018,GA,Atlanta
