Daily Observed Min/Max Temperature & Precipitation,,,,
,DallasFtWorth TX - KDFW,,,
6-Jun-09,69,93,81,-
7-Jun-09,73,93,83,-
8-Jun-09,73,94,83.5,-
9-Jun-09,75,93,84,-
10-Jun-09,68,91,79.5,0.89
11-Jun-09,68,85,76.5,2.99
12-Jun-09,70,95,82.5,-
13-Jun-09,74,96,85,-
14-Jun-09,74,94,84,-
15-Jun-09,76,96,86,-
16-Jun-09,76,98,87,-
17-Jun-09,75,95,85,-
18-Jun-09,77,96,86.5,-
19-Jun-09,77,93,85,-
20-Jun-09,76,96,86,-
21-Jun-09,77,96,86.5,-
22-Jun-09,78,98,88,-
23-Jun-09,78,100,89,-
24-Jun-09,79,101,90,-
25-Jun-09,80,100,90,-
26-Jun-09,77,98,87.5,-
27-Jun-09,76,103,89.5,-
28-Jun-09,80,103,91.5,-
29-Jun-09,77,90,83.5,-
30-Jun-09,76,88,82,-
1-Jul-09,74,99,86.5,-
2-Jul-09,76,102,89,-
3-Jul-09,79,101,90,-
4-Jul-09,83,101,92,-
5-Jul-09,76,92,84,0.07
6-Jul-09,75,88,81.5,-
7-Jul-09,72,96,84,-
8-Jul-09,76,101,88.5,-
9-Jul-09,77,103,90,-
10-Jul-09,81,102,91.5,-
11-Jul-09,82,101,91.5,-
12-Jul-09,82,102,92,-
13-Jul-09,84,104,94,-
14-Jul-09,82,103,92.5,-
15-Jul-09,81,103,92,-
16-Jul-09,82,103,92.5,-
17-Jul-09,76,95,85.5,-
18-Jul-09,75,94,84.5,-
19-Jul-09,73,95,84,0.01
20-Jul-09,76,88,82,0.01
21-Jul-09,74,95,84.5,0.09
22-Jul-09,72,90,81,-
23-Jul-09,75,89,82,-
24-Jul-09,76,96,86,-
25-Jul-09,76,102,89,-
26-Jul-09,78,100,89,-
27-Jul-09,74,82,78,0.63
28-Jul-09,73,91,82,-
29-Jul-09,77,90,83.5,-
30-Jul-09,69,90,79.5,1.01
31-Jul-09,71,91,81,0.15
1-Aug-09,74,94,84,0.63
2-Aug-09,72,95,83.5,-
3-Aug-09,76,99,87.5,-
4-Aug-09,78,98,88,-
5-Aug-09,78,100,89,0.02
6-Aug-09,74,97,85.5,-
7-Aug-09,77,98,87.5,-
8-Aug-09,79,96,87.5,-
9-Aug-09,79,98,88.5,-
10-Aug-09,79,98,88.5,-
11-Aug-09,77,91,84,-
12-Aug-09,73,95,84,-
13-Aug-09,73,95,84,-
14-Aug-09,74,93,83.5,-
15-Aug-09,78,98,88,-
16-Aug-09,79,98,88.5,-
17-Aug-09,79,99,89,-
18-Aug-09,78,96,87,-
19-Aug-09,77,99,88,-
20-Aug-09,80,97,88.5,-
21-Aug-09,68,93,80.5,0.99
22-Aug-09,68,94,81,-
23-Aug-09,75,95,85,-
24-Aug-09,74,99,86.5,-
25-Aug-09,76,101,88.5,-
26-Aug-09,74,99,86.5,-
27-Aug-09,75,92,83.5,-
28-Aug-09,73,91,82,-
29-Aug-09,67,90,78.5,-
30-Aug-09,70,88,79,-
31-Aug-09,68,87,77.5,-
1-Sep-09,68,93,80.5,-
2-Sep-09,71,94,82.5,-
3-Sep-09,72,96,84,0.15
4-Sep-09,71,88,79.5,0.03
5-Sep-09,71,90,80.5,-
6-Sep-09,71,94,82.5,-
7-Sep-09,73,96,84.5,-
8-Sep-09,73,95,84,-
9-Sep-09,73,95,84,-
10-Sep-09,73,95,84,0.01
11-Sep-09,70,84,77,0.92
12-Sep-09,69,73,71,0.93
13-Sep-09,69,74,71.5,0.61
14-Sep-09,69,74,71.5,0.36
15-Sep-09,70,82,76,-
16-Sep-09,67,77,72,0.07
17-Sep-09,68,80,74,0.23
18-Sep-09,71,81,76,-
19-Sep-09,68,86,77,-
20-Sep-09,68,88,78,-
21-Sep-09,70,92,81,0.58
22-Sep-09,62,72,67,0.03
23-Sep-09,60,70,65,-
24-Sep-09,55,76,65.5,-
25-Sep-09,55,82,68.5,-
26-Sep-09,61,89,75,-
27-Sep-09,70,95,82.5,-
28-Sep-09,61,81,71,-
29-Sep-09,56,80,68,-
30-Sep-09,61,84,72.5,-
1-Oct-09,60,87,73.5,0.55
2-Oct-09,52,76,64,-
3-Oct-09,54,78,66,0.37
4-Oct-09,58,64,61,0.49
5-Oct-09,58,69,63.5,-
6-Oct-09,57,84,70.5,0.07
7-Oct-09,57,65,61,0.01
8-Oct-09,65,89,77,0.13
9-Oct-09,52,72,62,1.86
10-Oct-09,50,55,52.5,-
11-Oct-09,52,59,55.5,0.23
12-Oct-09,54,63,58.5,0.03
13-Oct-09,63,70,66.5,0.26
14-Oct-09,68,85,76.5,-
15-Oct-09,55,77,66,-
16-Oct-09,52,69,60.5,-
17-Oct-09,50,75,62.5,-
18-Oct-09,45,70,57.5,-
19-Oct-09,55,76,65.5,-
20-Oct-09,59,80,69.5,-
21-Oct-09,61,69,65,2.48
22-Oct-09,51,61,56,0.53
23-Oct-09,47,66,56.5,-
24-Oct-09,44,74,59,-
25-Oct-09,56,77,66.5,0.12
26-Oct-09,50,64,57,0.74
27-Oct-09,47,65,56,0.05
28-Oct-09,49,73,61,0.01
29-Oct-09,53,79,66,0.04
30-Oct-09,47,64,55.5,0.05
31-Oct-09,41,74,57.5,-
1-Nov-09,47,75,61,-
2-Nov-09,48,75,61.5,-
3-Nov-09,51,76,63.5,-
4-Nov-09,50,78,64,-
5-Nov-09,53,77,65,-
6-Nov-09,53,78,65.5,-
7-Nov-09,56,74,65,-
8-Nov-09,56,75,65.5,-
9-Nov-09,62,76,69,-
10-Nov-09,54,78,66,-
11-Nov-09,53,71,62,-
12-Nov-09,48,72,60,-
13-Nov-09,53,73,63,-
14-Nov-09,59,78,68.5,-
15-Nov-09,60,78,69,0.31
16-Nov-09,44,61,52.5,-
17-Nov-09,42,60,51,-
18-Nov-09,36,67,51.5,-
19-Nov-09,47,72,59.5,-
20-Nov-09,55,63,59,1.34
21-Nov-09,50,61,55.5,-
22-Nov-09,44,64,54,-
23-Nov-09,43,71,57,-
24-Nov-09,44,62,53,-
25-Nov-09,36,66,51,-
26-Nov-09,39,62,50.5,-
27-Nov-09,38,73,55.5,-
28-Nov-09,49,69,59,-
29-Nov-09,46,68,57,0.12
30-Nov-09,42,58,50,-
1-Dec-09,41,49,45,0.63
2-Dec-09,34,47,40.5,0.35
3-Dec-09,32,44,38,-
4-Dec-09,27,41,34,-
5-Dec-09,24,47,35.5,-
6-Dec-09,35,46,40.5,0.02
7-Dec-09,38,46,42,0.03
8-Dec-09,38,55,46.5,0.04
9-Dec-09,25,46,35.5,-
10-Dec-09,22,43,32.5,-
11-Dec-09,32,47,39.5,-
12-Dec-09,41,48,44.5,0.01
13-Dec-09,45,66,55.5,-
14-Dec-09,37,72,54.5,-
15-Dec-09,29,44,36.5,-
16-Dec-09,29,47,38,-
17-Dec-09,39,57,48,-
18-Dec-09,35,61,48,-
19-Dec-09,35,54,44.5,-
20-Dec-09,28,65,46.5,-
21-Dec-09,36,65,50.5,-
22-Dec-09,52,67,59.5,-
23-Dec-09,53,75,64,-
24-Dec-09,28,53,40.5,0.42
25-Dec-09,25,40,32.5,-
26-Dec-09,24,46,35,-
27-Dec-09,30,47,38.5,-
28-Dec-09,26,49,37.5,-
29-Dec-09,28,41,34.5,0.31
30-Dec-09,36,55,45.5,0.01
31-Dec-09,33,46,39.5,0.04
1-Jan-10,27,50,38.5,-
2-Jan-10,28,53,40.5,-
3-Jan-10,30,47,38.5,-
4-Jan-10,26,39,32.5,-
5-Jan-10,22,41,31.5,-
6-Jan-10,27,50,38.5,-
7-Jan-10,22,46,34,0.06
8-Jan-10,16,30,23,-
9-Jan-10,13,36,24.5,-
10-Jan-10,17,44,30.5,-
11-Jan-10,23,55,39,-
12-Jan-10,28,57,42.5,-
13-Jan-10,33,62,47.5,-
14-Jan-10,50,55,52.5,0.03
15-Jan-10,47,58,52.5,0.15
16-Jan-10,46,61,53.5,-
17-Jan-10,41,65,53,-
18-Jan-10,40,70,55,-
19-Jan-10,53,70,61.5,0.02
20-Jan-10,55,69,62,-
21-Jan-10,48,66,57,-
22-Jan-10,45,76,60.5,-
23-Jan-10,51,63,57,0.11
24-Jan-10,42,58,50,-
25-Jan-10,33,58,45.5,-
26-Jan-10,34,59,46.5,-
27-Jan-10,44,67,55.5,-
28-Jan-10,44,58,51,1.51
29-Jan-10,30,44,37,0.67
30-Jan-10,26,31,28.5,-
31-Jan-10,29,37,33,-
1-Feb-10,29,46,37.5,-
2-Feb-10,38,51,44.5,-
3-Feb-10,35,47,41,0.14
4-Feb-10,41,44,42.5,0.25
5-Feb-10,39,59,49,-
6-Feb-10,35,43,39,-
7-Feb-10,36,44,40,0.05
8-Feb-10,38,42,40,1.06
9-Feb-10,26,43,34.5,-
10-Feb-10,29,39,34,-
11-Feb-10,32,38,35,1.1
12-Feb-10,29,36,32.5,0.06
13-Feb-10,32,44,38,-
14-Feb-10,29,41,35,-
15-Feb-10,29,46,37.5,-
16-Feb-10,27,50,38.5,-
17-Feb-10,27,54,40.5,-
18-Feb-10,32,62,47,-
19-Feb-10,42,57,49.5,-
20-Feb-10,52,62,57,-
21-Feb-10,40,65,52.5,0.21
22-Feb-10,36,40,38,-
23-Feb-10,32,42,37,-
24-Feb-10,29,50,39.5,-
25-Feb-10,33,57,45,-
26-Feb-10,37,50,43.5,-
27-Feb-10,34,64,49,-
28-Feb-10,38,65,51.5,-
1-Mar-10,42,52,47,0.57
2-Mar-10,35,54,44.5,-
3-Mar-10,33,61,47,-
4-Mar-10,39,68,53.5,-
5-Mar-10,49,69,59,-
6-Mar-10,50,69,59.5,-
7-Mar-10,51,59,55,0.53
8-Mar-10,52,60,56,0.31
9-Mar-10,47,75,61,-
10-Mar-10,51,75,63,0.31
11-Mar-10,41,64,52.5,-
12-Mar-10,43,68,55.5,-
13-Mar-10,45,67,56,-
14-Mar-10,42,73,57.5,-
15-Mar-10,47,65,56,-
16-Mar-10,49,61,55,0.04
17-Mar-10,42,65,53.5,-
18-Mar-10,39,65,52,-
19-Mar-10,45,73,59,-
20-Mar-10,32,62,47,1.05
21-Mar-10,32,47,39.5,0.01
22-Mar-10,37,67,52,-
23-Mar-10,45,75,60,-
24-Mar-10,54,74,64,0.63
25-Mar-10,47,64,55.5,-
26-Mar-10,42,67,54.5,-
27-Mar-10,53,74,63.5,-
28-Mar-10,48,64,56,-
29-Mar-10,41,74,57.5,-
30-Mar-10,54,80,67,-
31-Mar-10,57,83,70,-
1-Apr-10,63,81,72,-
2-Apr-10,62,79,70.5,0.09
3-Apr-10,46,78,62,-
4-Apr-10,58,79,68.5,-
5-Apr-10,69,82,75.5,-
6-Apr-10,65,82,73.5,-
7-Apr-10,50,75,62.5,-
8-Apr-10,45,68,56.5,-
9-Apr-10,44,76,60,-
10-Apr-10,53,75,64,-
11-Apr-10,60,73,66.5,-
12-Apr-10,59,80,69.5,-
13-Apr-10,54,82,68,-
14-Apr-10,57,81,69,-
15-Apr-10,60,79,69.5,-
16-Apr-10,64,78,71,0.02
17-Apr-10,60,72,66,1.26
18-Apr-10,51,63,57,0.24
19-Apr-10,51,67,59,-
20-Apr-10,54,72,63,-
21-Apr-10,54,79,66.5,-
22-Apr-10,59,73,66,-
23-Apr-10,66,82,74,0.07
24-Apr-10,57,79,68,0.34
25-Apr-10,58,77,67.5,-
26-Apr-10,52,75,63.5,-
27-Apr-10,51,72,61.5,-
28-Apr-10,50,78,64,-
29-Apr-10,62,83,72.5,-
30-Apr-10,68,81,74.5,-
1-May-10,62,79,70.5,-
2-May-10,59,84,71.5,-
3-May-10,53,87,70,0.16
4-May-10,51,85,68,-
5-May-10,62,87,74.5,-
6-May-10,65,89,77,-
7-May-10,66,80,73,-
8-May-10,56,75,65.5,-
9-May-10,57,67,62,0.08
10-May-10,62,88,75,-
11-May-10,73,90,81.5,-
12-May-10,74,87,80.5,-
13-May-10,67,87,77,-
14-May-10,63,80,71.5,0.6
15-May-10,62,78,70,-
16-May-10,64,86,75,-
17-May-10,67,90,78.5,0.02
18-May-10,64,84,74,-
19-May-10,69,89,79,-
20-May-10,70,87,78.5,-
21-May-10,66,90,78,-
22-May-10,75,91,83,-
23-May-10,76,92,84,-
24-May-10,72,90,81,-
25-May-10,73,89,81,-
26-May-10,72,93,82.5,-
27-May-10,70,94,82,-
28-May-10,75,96,85.5,-
29-May-10,73,95,84,-
30-May-10,73,99,86,0.23
31-May-10,75,95,85,-
1-Jun-10,76,97,86.5,-
2-Jun-10,75,96,85.5,-
3-Jun-10,71,89,80,-
4-Jun-10,69,95,82,-
5-Jun-10,73,100,86.5,-
6-Jun-10,77,98,87.5,-
7-Jun-10,78,97,87.5,-
8-Jun-10,76,96,86,-
9-Jun-10,74,88,81,0.05
10-Jun-10,74,94,84,0.11
11-Jun-10,78,97,87.5,-
12-Jun-10,79,96,87.5,-
13-Jun-10,81,98,89.5,-
14-Jun-10,78,97,87.5,-
15-Jun-10,71,97,84,-
16-Jun-10,78,98,88,-
17-Jun-10,77,98,87.5,-
18-Jun-10,79,98,88.5,-
19-Jun-10,79,99,89,-
20-Jun-10,79,100,89.5,-
21-Jun-10,80,99,89.5,-
22-Jun-10,80,100,90,-
23-Jun-10,78,100,89,-
24-Jun-10,78,96,87,0.79
25-Jun-10,78,95,86.5,-
26-Jun-10,79,99,89,-
27-Jun-10,79,99,89,-
28-Jun-10,75,97,86,0.54
29-Jun-10,75,87,81,0.3
30-Jun-10,74,93,83.5,0.32
1-Jul-10,75,89,82,-
2-Jul-10,75,84,79.5,0.92
3-Jul-10,74,90,82,0.95
4-Jul-10,75,93,84,-
5-Jul-10,78,94,86,-
6-Jul-10,77,94,85.5,0.07
7-Jul-10,75,93,84,0.29
8-Jul-10,76,90,83,0.42
9-Jul-10,75,86,80.5,0.49
10-Jul-10,75,90,82.5,-
11-Jul-10,79,98,88.5,-
12-Jul-10,80,94,87,-
13-Jul-10,80,95,87.5,-
14-Jul-10,80,97,88.5,-
15-Jul-10,78,96,87,-
16-Jul-10,79,98,88.5,-
17-Jul-10,81,102,91.5,-
18-Jul-10,78,99,88.5,-
19-Jul-10,76,97,86.5,-
20-Jul-10,78,98,88,-
21-Jul-10,79,97,88,-
22-Jul-10,79,98,88.5,-
23-Jul-10,80,95,87.5,0.15
24-Jul-10,77,95,86,-
25-Jul-10,73,100,86.5,-
26-Jul-10,77,95,86,-
27-Jul-10,73,92,82.5,0.01
28-Jul-10,74,94,84,-
29-Jul-10,75,96,85.5,-
30-Jul-10,78,99,88.5,-
31-Jul-10,78,102,90,-
1-Aug-10,76,104,90,-
2-Aug-10,79,104,91.5,-
3-Aug-10,77,102,89.5,-
4-Aug-10,82,101,91.5,-
5-Aug-10,82,104,93,-
6-Aug-10,79,105,92,-
7-Aug-10,79,101,90,-
8-Aug-10,81,100,90.5,-
9-Aug-10,79,100,89.5,-
10-Aug-10,78,101,89.5,-
11-Aug-10,81,103,92,-
12-Aug-10,82,103,92.5,-
13-Aug-10,83,103,93,-
14-Aug-10,83,102,92.5,-
15-Aug-10,82,103,92.5,0.21
16-Aug-10,81,102,91.5,-
17-Aug-10,79,102,90.5,-
18-Aug-10,81,96,88.5,0.06
19-Aug-10,79,101,90,-
20-Aug-10,81,102,91.5,-
21-Aug-10,82,104,93,-
22-Aug-10,83,105,94,-
23-Aug-10,81,107,94,-
24-Aug-10,79,97,88,-
25-Aug-10,72,81,76.5,0.14
26-Aug-10,71,96,83.5,-
27-Aug-10,71,94,82.5,-
28-Aug-10,69,97,83,-
29-Aug-10,78,97,87.5,-
30-Aug-10,80,99,89.5,-
31-Aug-10,80,99,89.5,-
1-Sep-10,75,96,85.5,1.77
2-Sep-10,71,83,77,0.18
3-Sep-10,68,86,77,-
4-Sep-10,62,88,75,-
5-Sep-10,66,92,79,-
6-Sep-10,72,94,83,-
7-Sep-10,74,82,78,0.96
8-Sep-10,74,84,79,3.58
9-Sep-10,79,92,85.5,0.01
10-Sep-10,77,93,85,-
11-Sep-10,79,95,87,-
12-Sep-10,78,94,86,-
13-Sep-10,78,93,85.5,-
14-Sep-10,75,94,84.5,0.01
15-Sep-10,72,93,82.5,-
16-Sep-10,75,94,84.5,-
17-Sep-10,74,95,84.5,-
18-Sep-10,74,93,83.5,-
19-Sep-10,73,93,83,-
20-Sep-10,72,90,81,-
21-Sep-10,71,87,79,-
22-Sep-10,73,90,81.5,-
23-Sep-10,76,91,83.5,-
24-Sep-10,75,86,80.5,-
25-Sep-10,71,78,74.5,0.88
26-Sep-10,58,77,67.5,-
27-Sep-10,53,75,64,-
28-Sep-10,53,86,69.5,-
29-Sep-10,61,84,72.5,-
30-Sep-10,61,87,74,-
1-Oct-10,61,83,72,-
2-Oct-10,57,83,70,-
3-Oct-10,52,71,61.5,-
4-Oct-10,52,73,62.5,-
5-Oct-10,51,76,63.5,-
6-Oct-10,53,82,67.5,-
7-Oct-10,53,86,69.5,-
8-Oct-10,53,85,69,-
9-Oct-10,54,85,69.5,-
10-Oct-10,59,86,72.5,-
11-Oct-10,64,85,74.5,0.02
12-Oct-10,61,82,71.5,-
13-Oct-10,58,81,69.5,-
14-Oct-10,51,75,63,-
15-Oct-10,50,86,68,-
16-Oct-10,53,85,69,-
17-Oct-10,54,80,67,-
18-Oct-10,61,86,73.5,-
19-Oct-10,64,86,75,-
20-Oct-10,62,82,72,-
21-Oct-10,63,87,75,-
22-Oct-10,66,82,74,0.03
23-Oct-10,60,75,67.5,1.14
24-Oct-10,62,86,74,-
25-Oct-10,63,88,75.5,-
26-Oct-10,59,78,68.5,-
27-Oct-10,56,83,69.5,-
28-Oct-10,50,70,60,-
29-Oct-10,42,70,56,-
30-Oct-10,44,80,62,-
31-Oct-10,53,85,69,-
1-Nov-10,57,74,65.5,-
2-Nov-10,53,58,55.5,0.98
3-Nov-10,48,71,59.5,0.25
4-Nov-10,48,65,56.5,-
5-Nov-10,43,62,52.5,-
6-Nov-10,38,66,52,-
7-Nov-10,40,71,55.5,-
8-Nov-10,49,75,62,-
9-Nov-10,55,76,65.5,-
10-Nov-10,57,79,68,-
11-Nov-10,64,77,70.5,0.02
12-Nov-10,50,79,64.5,0.02
13-Nov-10,44,60,52,-
14-Nov-10,39,62,50.5,-
15-Nov-10,43,63,53,0.03
16-Nov-10,46,64,55,0.03
17-Nov-10,49,72,60.5,-
18-Nov-10,41,58,49.5,-
19-Nov-10,38,67,52.5,-
20-Nov-10,50,72,61,-
21-Nov-10,64,81,72.5,-
22-Nov-10,67,82,74.5,-
23-Nov-10,59,77,68,-
24-Nov-10,71,84,77.5,-
25-Nov-10,36,74,55,0.01
26-Nov-10,32,53,42.5,-
27-Nov-10,30,63,46.5,-
28-Nov-10,36,67,51.5,-
29-Nov-10,48,72,60,0.05
30-Nov-10,37,51,44,-
1-Dec-10,32,65,48.5,-
2-Dec-10,39,67,53,-
3-Dec-10,42,75,58.5,-
4-Dec-10,45,65,55,-
5-Dec-10,35,49,42,-
6-Dec-10,30,50,40,-
7-Dec-10,31,56,43.5,-
8-Dec-10,37,54,45.5,-
9-Dec-10,38,60,49,-
10-Dec-10,40,68,54,-
11-Dec-10,42,64,53,-
12-Dec-10,33,47,40,-
13-Dec-10,27,53,40,-
14-Dec-10,33,68,50.5,-
15-Dec-10,52,77,64.5,-
16-Dec-10,40,66,53,-
17-Dec-10,34,52,43,-
18-Dec-10,32,54,43,-
19-Dec-10,39,62,50.5,-
20-Dec-10,49,79,64,-
21-Dec-10,51,85,68,-
22-Dec-10,42,52,47,-
23-Dec-10,40,51,45.5,-
24-Dec-10,40,50,45,0.99
25-Dec-10,33,41,37,-
26-Dec-10,26,42,34,-
27-Dec-10,26,51,38.5,-
28-Dec-10,40,52,46,0.31
29-Dec-10,53,69,61,0.79
30-Dec-10,58,70,64,-
31-Dec-10,39,67,53,-
1-Jan-11,29,45,37,-
2-Jan-11,25,49,37,-
3-Jan-11,30,60,45,-
4-Jan-11,40,57,48.5,-
5-Jan-11,33,58,45.5,-
6-Jan-11,36,63,49.5,-
7-Jan-11,36,67,51.5,-
8-Jan-11,35,53,44,-
9-Jan-11,29,47,38,1.27
10-Jan-11,29,35,32,-
11-Jan-11,21,34,27.5,-
12-Jan-11,23,34,28.5,-
13-Jan-11,23,39,31,-
14-Jan-11,27,47,37,-
15-Jan-11,40,48,44,0.06
16-Jan-11,44,46,45,0.15
17-Jan-11,45,58,51.5,-
18-Jan-11,38,56,47,-
19-Jan-11,32,56,44,-
20-Jan-11,25,52,38.5,0.03
21-Jan-11,20,43,31.5,-
22-Jan-11,25,60,42.5,-
23-Jan-11,30,50,40,-
24-Jan-11,23,56,39.5,-
25-Jan-11,37,53,45,-
26-Jan-11,28,61,44.5,-
27-Jan-11,32,65,48.5,-
28-Jan-11,36,75,55.5,-
29-Jan-11,39,75,57,-
30-Jan-11,41,69,55,-
31-Jan-11,39,53,46,0.09
1-Feb-11,14,38,26,0.54
2-Feb-11,13,20,16.5,-
3-Feb-11,17,23,20,-
4-Feb-11,19,29,24,0.15
5-Feb-11,17,54,35.5,-
6-Feb-11,35,54,44.5,0.03
7-Feb-11,33,49,41,-
8-Feb-11,29,56,42.5,-
9-Feb-11,16,47,31.5,0.16
10-Feb-11,15,36,25.5,-
11-Feb-11,20,55,37.5,-
12-Feb-11,27,66,46.5,-
13-Feb-11,34,73,53.5,-
14-Feb-11,42,72,57,-
15-Feb-11,57,77,67,-
16-Feb-11,61,73,67,-
17-Feb-11,63,77,70,-
18-Feb-11,62,82,72,-
19-Feb-11,55,75,65,-
20-Feb-11,61,78,69.5,-
21-Feb-11,45,75,60,-
22-Feb-11,37,67,52,-
23-Feb-11,59,70,64.5,-
24-Feb-11,44,82,63,0.14
25-Feb-11,39,57,48,-
26-Feb-11,42,75,58.5,-
27-Feb-11,66,77,71.5,0.01
28-Feb-11,45,69,57,-
1-Mar-11,37,69,53,-
2-Mar-11,46,73,59.5,-
3-Mar-11,47,76,61.5,-
4-Mar-11,57,72,64.5,-
5-Mar-11,40,58,49,-
6-Mar-11,30,62,46,-
7-Mar-11,47,66,56.5,-
8-Mar-11,53,82,67.5,0.01
9-Mar-11,45,65,55,-
10-Mar-11,40,68,54,-
11-Mar-11,42,78,60,-
12-Mar-11,55,78,66.5,-
13-Mar-11,58,75,66.5,-
14-Mar-11,42,62,52,-
15-Mar-11,38,64,51,-
