State,year,week,ILITOTAL,last_day_of_the_week,average_temperature,City
New York,2010,48,244,2010-12-05,41.357142857142854,New York
Pennsylvania,2010,48,217,2010-12-05,41.142857142857146,Philadelphia
Texas,2010,48,1273,2010-12-05,51.57142857142857,Dallas
Texas,2010,48,1273,2010-12-05,58.78571428571429,Houston
Washington,2010,48,35,2010-12-05,41.642857142857146,Seattle
Arizona,2010,49,517,2010-12-12,63.42857142857143,Phoenix
California,2010,49,1072,2010-12-12,62.85714285714285,Los Angeles
California,2010,49,1072,2010-12-12,55.14285714285714,San Francisco
Colorado,2010,49,154,2010-12-12,47.214285714285715,Denver
Georgia,2010,49,1685,2010-12-12,35.357142857142854,Atlanta
Illinois,2010,49,732,2010-12-12,20.857142857142858,Chicago
New York,2010,49,303,2010-12-12,34.357142857142854,New York
Pennsylvania,2010,49,203,2010-12-12,34.214285714285715,Philadelphia
Texas,2010,49,1165,2010-12-12,46.42857142857143,Dallas
Texas,2010,49,1165,2010-12-12,51.14285714285714,Houston
Washington,2010,49,33,2010-12-12,47.214285714285715,Seattle
Arizona,2010,50,488,2010-12-19,61.64285714285714,Phoenix
California,2010,50,1170,2010-12-19,58.714285714285715,Los Angeles
California,2010,50,1170,2010-12-19,53.14285714285714,San Francisco
Colorado,2010,50,174,2010-12-19,43.78571428571429,Denver
Georgia,2010,50,2254,2010-12-19,34.57142857142857,Atlanta
Illinois,2010,50,775,2010-12-19,15.5,Chicago
New York,2010,50,357,2010-12-19,29.142857142857146,New York
Pennsylvania,2010,50,196,2010-12-19,27.642857142857146,Philadelphia
Texas,2010,50,1350,2010-12-19,49.214285714285715,Dallas
Texas,2010,50,1350,2010-12-19,54.214285714285715,Houston
Washington,2010,50,14,2010-12-19,43.78571428571429,Seattle
Arizona,2010,51,454,2010-12-26,59.92857142857143,Phoenix
California,2010,51,1057,2010-12-26,56.28571428571429,Los Angeles
California,2010,51,1057,2010-12-26,51.07142857142857,San Francisco
Colorado,2010,51,123,2010-12-26,44.714285714285715,Denver
Georgia,2010,51,2489,2010-12-26,39.92857142857143,Atlanta
Illinois,2010,51,1039,2010-12-26,25.214285714285715,Chicago
New York,2010,51,388,2010-12-26,32.785714285714285,New York
Pennsylvania,2010,51,214,2010-12-26,32.42857142857143,Philadelphia
Texas,2010,51,1418,2010-12-26,48.64285714285714,Dallas
Texas,2010,51,1418,2010-12-26,58.07142857142857,Houston
Washington,2010,51,6,2010-12-26,44.714285714285715,Seattle
Arizona,2010,52,344,2011-01-02,47.5,Phoenix
California,2010,52,916,2011-01-02,51.57142857142857,Los Angeles
California,2010,52,916,2011-01-02,48.85714285714285,San Francisco
Colorado,2010,52,160,2011-01-02,34.92857142857143,Denver
Georgia,2010,52,2064,2011-01-02,44.35714285714285,Atlanta
Illinois,2010,52,1251,2011-01-02,27.357142857142854,Chicago
New York,2010,52,349,2011-01-02,33.214285714285715,New York
Pennsylvania,2010,52,243,2011-01-02,34.857142857142854,Philadelphia
Texas,2010,52,1293,2011-01-02,48.07142857142857,Dallas
Texas,2010,52,1293,2011-01-02,55.714285714285715,Houston
Washington,2010,52,30,2011-01-02,34.92857142857143,Seattle
Arizona,2011,1,411,2011-01-09,51.14285714285714,Phoenix
California,2011,1,1190,2011-01-09,54.214285714285715,Los Angeles
California,2011,1,1190,2011-01-09,45.5,San Francisco
Colorado,2011,1,199,2011-01-09,38.42857142857143,Denver
Georgia,2011,1,1723,2011-01-09,39.857142857142854,Atlanta
Illinois,2011,1,1172,2011-01-09,20.928571428571427,Chicago
New York,2011,1,352,2011-01-09,30.642857142857146,New York
Pennsylvania,2011,1,257,2011-01-09,30.0,Philadelphia
Texas,2011,1,1524,2011-01-09,46.0,Dallas
Texas,2011,1,1524,2011-01-09,54.07142857142857,Houston
Washington,2011,1,35,2011-01-09,38.42857142857143,Seattle
Arizona,2011,2,447,2011-01-16,57.64285714285714,Phoenix
California,2011,2,1354,2011-01-16,61.85714285714285,Los Angeles
California,2011,2,1354,2011-01-16,50.35714285714285,San Francisco
Colorado,2011,2,202,2011-01-16,44.28571428571429,Denver
Georgia,2011,2,1133,2011-01-16,32.07142857142857,Atlanta
Illinois,2011,2,1280,2011-01-16,20.785714285714285,Chicago
New York,2011,2,383,2011-01-16,27.5,New York
Pennsylvania,2011,2,322,2011-01-16,26.285714285714285,Philadelphia
Texas,2011,2,1950,2011-01-16,35.0,Dallas
Texas,2011,2,1950,2011-01-16,44.57142857142857,Houston
Washington,2011,2,33,2011-01-16,44.28571428571429,Seattle
Arizona,2011,3,604,2011-01-23,59.57142857142857,Phoenix
California,2011,3,1324,2011-01-23,64.14285714285714,Los Angeles
California,2011,3,1324,2011-01-23,53.714285714285715,San Francisco
Colorado,2011,3,236,2011-01-23,42.642857142857146,Denver
Georgia,2011,3,1288,2011-01-23,38.714285714285715,Atlanta
Illinois,2011,3,1664,2011-01-23,15.214285714285715,Chicago
New York,2011,3,356,2011-01-23,27.642857142857146,New York
Pennsylvania,2011,3,439,2011-01-23,28.285714285714285,Philadelphia
Texas,2011,3,2518,2011-01-23,42.142857142857146,Dallas
Texas,2011,3,2518,2011-01-23,49.07142857142857,Houston
Washington,2011,3,16,2011-01-23,42.642857142857146,Seattle
Arizona,2011,4,756,2011-01-30,58.07142857142857,Phoenix
California,2011,4,1768,2011-01-30,59.714285714285715,Los Angeles
California,2011,4,1768,2011-01-30,53.07142857142857,San Francisco
Colorado,2011,4,406,2011-01-30,44.85714285714285,Denver
Georgia,2011,4,1629,2011-01-30,45.42857142857143,Atlanta
Illinois,2011,4,1991,2011-01-30,24.642857142857146,Chicago
New York,2011,4,437,2011-01-30,27.785714285714285,New York
Pennsylvania,2011,4,681,2011-01-30,28.642857142857146,Philadelphia
Texas,2011,4,3381,2011-01-30,49.28571428571429,Dallas
Texas,2011,4,3381,2011-01-30,56.0,Houston
Washington,2011,4,46,2011-01-30,44.85714285714285,Seattle
Arizona,2011,5,682,2011-02-06,47.64285714285714,Phoenix
California,2011,5,1747,2011-02-06,55.28571428571429,Los Angeles
California,2011,5,1747,2011-02-06,54.92857142857143,San Francisco
Colorado,2011,5,486,2011-02-06,42.714285714285715,Denver
Georgia,2011,5,1828,2011-02-06,41.92857142857143,Atlanta
Illinois,2011,5,1857,2011-02-06,17.5,Chicago
New York,2011,5,528,2011-02-06,30.642857142857146,New York
Pennsylvania,2011,5,758,2011-02-06,32.0,Philadelphia
Texas,2011,5,3086,2011-02-06,30.357142857142854,Dallas
Texas,2011,5,3086,2011-02-06,42.07142857142857,Houston
Washington,2011,5,75,2011-02-06,42.714285714285715,Seattle
Arizona,2011,6,769,2011-02-13,58.0,Phoenix
California,2011,6,1987,2011-02-13,61.14285714285714,Los Angeles
California,2011,6,1987,2011-02-13,53.28571428571429,San Francisco
Colorado,2011,6,548,2011-02-13,41.857142857142854,Denver
Georgia,2011,6,1908,2011-02-13,40.357142857142854,Atlanta
Illinois,2011,6,1774,2011-02-13,18.785714285714285,Chicago
New York,2011,6,572,2011-02-13,29.42857142857143,New York
Pennsylvania,2011,6,687,2011-02-13,30.92857142857143,Philadelphia
Texas,2011,6,3280,2011-02-13,39.714285714285715,Dallas
Texas,2011,6,3280,2011-02-13,42.285714285714285,Houston
Washington,2011,6,63,2011-02-13,41.857142857142854,Seattle
Arizona,2011,7,770,2011-02-20,61.07142857142857,Phoenix
California,2011,7,2036,2011-02-20,54.28571428571429,Los Angeles
California,2011,7,2036,2011-02-20,48.14285714285714,San Francisco
Colorado,2011,7,654,2011-02-20,39.857142857142854,Denver
Georgia,2011,7,1835,2011-02-20,56.714285714285715,Atlanta
Illinois,2011,7,1739,2011-02-20,37.5,Chicago
New York,2011,7,537,2011-02-20,40.642857142857146,New York
Pennsylvania,2011,7,663,2011-02-20,45.28571428571429,Philadelphia
Texas,2011,7,4821,2011-02-20,66.78571428571429,Dallas
Texas,2011,7,4821,2011-02-20,65.64285714285714,Houston
Washington,2011,7,114,2011-02-20,39.857142857142854,Seattle
Arizona,2011,8,681,2011-02-27,54.92857142857143,Phoenix
California,2011,8,1775,2011-02-27,51.5,Los Angeles
California,2011,8,1775,2011-02-27,46.0,San Francisco
Colorado,2011,8,637,2011-02-27,32.642857142857146,Denver
Georgia,2011,8,1596,2011-02-27,58.92857142857143,Atlanta
Illinois,2011,8,1568,2011-02-27,29.642857142857146,Chicago
New York,2011,8,420,2011-02-27,35.5,New York
Pennsylvania,2011,8,591,2011-02-27,37.5,Philadelphia
Texas,2011,8,3641,2011-02-27,59.64285714285714,Dallas
Texas,2011,8,3641,2011-02-27,70.14285714285714,Houston
Washington,2011,8,94,2011-02-27,32.642857142857146,Seattle
Arizona,2011,9,454,2011-03-06,63.57142857142857,Phoenix
California,2011,9,2007,2011-03-06,58.35714285714285,Los Angeles
California,2011,9,2007,2011-03-06,52.78571428571429,San Francisco
Colorado,2011,9,591,2011-03-06,40.92857142857143,Denver
Georgia,2011,9,1048,2011-03-06,55.07142857142857,Atlanta
Illinois,2011,9,1579,2011-03-06,33.57142857142857,Chicago
New York,2011,9,328,2011-03-06,40.857142857142854,New York
Pennsylvania,2011,9,485,2011-03-06,43.714285714285715,Philadelphia
Texas,2011,9,2401,2011-03-06,55.78571428571429,Dallas
Texas,2011,9,2401,2011-03-06,61.85714285714285,Houston
Washington,2011,9,98,2011-03-06,40.92857142857143,Seattle
Arizona,2011,10,443,2011-03-13,68.64285714285714,Phoenix
California,2011,10,1853,2011-03-13,62.28571428571429,Los Angeles
California,2011,10,1853,2011-03-13,53.64285714285714,San Francisco
Colorado,2011,10,451,2011-03-13,45.5,Denver
Georgia,2011,10,794,2011-03-13,51.64285714285714,Atlanta
Illinois,2011,10,1345,2011-03-13,35.285714285714285,Chicago
New York,2011,10,313,2011-03-13,43.214285714285715,New York
Pennsylvania,2011,10,368,2011-03-13,45.14285714285714,Philadelphia
Texas,2011,10,1784,2011-03-13,60.85714285714285,Dallas
Texas,2011,10,1784,2011-03-13,62.5,Houston
Washington,2011,10,82,2011-03-13,45.5,Seattle
Arizona,2011,11,310,2011-03-20,72.14285714285714,Phoenix
California,2011,11,1598,2011-03-20,60.14285714285714,Los Angeles
California,2011,11,1598,2011-03-20,52.92857142857143,San Francisco
Colorado,2011,11,387,2011-03-20,45.28571428571429,Denver
Georgia,2011,11,775,2011-03-20,60.57142857142857,Atlanta
Illinois,2011,11,1284,2011-03-20,43.35714285714285,Chicago
New York,2011,11,339,2011-03-20,47.714285714285715,New York
Pennsylvania,2011,11,328,2011-03-20,49.78571428571429,Philadelphia
Texas,2011,11,1231,2011-03-20,65.92857142857143,Dallas
Texas,2011,11,1231,2011-03-20,68.07142857142857,Houston
Washington,2011,11,73,2011-03-20,45.28571428571429,Seattle
Arizona,2011,12,276,2011-03-27,62.214285714285715,Phoenix
California,2011,12,1111,2011-03-27,54.64285714285714,Los Angeles
California,2011,12,1111,2011-03-27,51.5,San Francisco
Colorado,2011,12,289,2011-03-27,46.28571428571429,Denver
Georgia,2011,12,665,2011-03-27,60.64285714285714,Atlanta
Illinois,2011,12,1045,2011-03-27,34.285714285714285,Chicago
New York,2011,12,254,2011-03-27,39.0,New York
Pennsylvania,2011,12,253,2011-03-27,40.92857142857143,Philadelphia
Texas,2011,12,1082,2011-03-27,66.85714285714286,Dallas
Texas,2011,12,1082,2011-03-27,75.0,Houston
Washington,2011,12,76,2011-03-27,46.28571428571429,Seattle
Arizona,2011,13,272,2011-04-03,76.5,Phoenix
California,2011,13,1160,2011-04-03,66.0,Los Angeles
California,2011,13,1160,2011-04-03,59.07142857142857,San Francisco
Colorado,2011,13,192,2011-04-03,46.14285714285714,Denver
Georgia,2011,13,581,2011-04-03,52.28571428571429,Atlanta
Illinois,2011,13,985,2011-04-03,38.214285714285715,Chicago
New York,2011,13,242,2011-04-03,42.785714285714285,New York
Pennsylvania,2011,13,244,2011-04-03,42.357142857142854,Philadelphia
Texas,2011,13,968,2011-04-03,60.92857142857143,Dallas
Texas,2011,13,968,2011-04-03,68.28571428571429,Houston
Washington,2011,13,42,2011-04-03,46.14285714285714,Seattle
Arizona,2011,14,246,2011-04-10,66.28571428571429,Phoenix
California,2011,14,927,2011-04-10,59.28571428571429,Los Angeles
California,2011,14,927,2011-04-10,53.14285714285714,San Francisco
Colorado,2011,14,182,2011-04-10,44.5,Denver
Georgia,2011,14,549,2011-04-10,65.21428571428571,Atlanta
Illinois,2011,14,851,2011-04-10,51.07142857142857,Chicago
New York,2011,14,251,2011-04-10,46.42857142857143,New York
Pennsylvania,2011,14,264,2011-04-10,51.64285714285714,Philadelphia
Texas,2011,14,827,2011-04-10,70.21428571428571,Dallas
Texas,2011,14,827,2011-04-10,71.78571428571429,Houston
Washington,2011,14,18,2011-04-10,44.5,Seattle
Arizona,2011,15,222,2011-04-17,73.07142857142857,Phoenix
California,2011,15,918,2011-04-17,66.21428571428571,Los Angeles
California,2011,15,918,2011-04-17,55.14285714285714,San Francisco
Colorado,2011,15,167,2011-04-17,44.714285714285715,Denver
Georgia,2011,15,485,2011-04-17,62.92857142857143,Atlanta
Illinois,2011,15,616,2011-04-17,47.57142857142857,Chicago
New York,2011,15,236,2011-04-17,53.14285714285714,New York
Pennsylvania,2011,15,213,2011-04-17,56.35714285714285,Philadelphia
Texas,2011,15,770,2011-04-17,66.78571428571429,Dallas
Texas,2011,15,770,2011-04-17,70.64285714285714,Houston
Washington,2011,15,25,2011-04-17,44.714285714285715,Seattle
Arizona,2011,16,257,2011-04-24,78.0,Phoenix
California,2011,16,736,2011-04-24,62.57142857142857,Los Angeles
California,2011,16,736,2011-04-24,56.57142857142857,San Francisco
Colorado,2011,16,153,2011-04-24,46.85714285714285,Denver
Georgia,2011,16,490,2011-04-24,68.64285714285714,Atlanta
Illinois,2011,16,640,2011-04-24,42.642857142857146,Chicago
New York,2011,16,197,2011-04-24,52.64285714285714,New York
Pennsylvania,2011,16,144,2011-04-24,57.85714285714285,Philadelphia
Texas,2011,16,683,2011-04-24,76.78571428571429,Dallas
Texas,2011,16,683,2011-04-24,81.57142857142857,Houston
Washington,2011,16,33,2011-04-24,46.85714285714285,Seattle
Arizona,2011,17,241,2011-05-01,76.21428571428571,Phoenix
California,2011,17,784,2011-05-01,67.57142857142857,Los Angeles
California,2011,17,784,2011-05-01,56.57142857142857,San Francisco
Colorado,2011,17,177,2011-05-01,47.57142857142857,Denver
Georgia,2011,17,468,2011-05-01,69.07142857142857,Atlanta
Illinois,2011,17,526,2011-05-01,51.714285714285715,Chicago
New York,2011,17,123,2011-05-01,59.64285714285714,New York
Pennsylvania,2011,17,142,2011-05-01,66.85714285714286,Philadelphia
Texas,2011,17,605,2011-05-01,67.21428571428571,Dallas
Texas,2011,17,605,2011-05-01,77.07142857142857,Houston
Washington,2011,17,16,2011-05-01,47.57142857142857,Seattle
Arizona,2011,18,181,2011-05-08,80.71428571428571,Phoenix
California,2011,18,734,2011-05-08,69.78571428571429,Los Angeles
California,2011,18,734,2011-05-08,59.35714285714285,San Francisco
Colorado,2011,18,151,2011-05-08,50.57142857142857,Denver
Georgia,2011,18,446,2011-05-08,63.5,Atlanta
Illinois,2011,18,479,2011-05-08,50.28571428571429,Chicago
New York,2011,18,153,2011-05-08,57.92857142857143,New York
Pennsylvania,2011,18,141,2011-05-08,62.07142857142857,Philadelphia
Texas,2011,18,662,2011-05-08,65.78571428571429,Dallas
Texas,2011,18,662,2011-05-08,71.5,Houston
Washington,2011,18,16,2011-05-08,50.57142857142857,Seattle
Arizona,2011,19,156,2011-05-15,77.57142857142857,Phoenix
California,2011,19,672,2011-05-15,62.57142857142857,Los Angeles
California,2011,19,672,2011-05-15,54.5,San Francisco
Colorado,2011,19,113,2011-05-15,51.28571428571429,Denver
Georgia,2011,19,488,2011-05-15,73.64285714285714,Atlanta
Illinois,2011,19,575,2011-05-15,62.5,Chicago
New York,2011,19,164,2011-05-15,60.85714285714285,New York
Pennsylvania,2011,19,120,2011-05-15,63.5,Philadelphia
Texas,2011,19,730,2011-05-15,70.78571428571429,Dallas
Texas,2011,19,730,2011-05-15,77.42857142857143,Houston
Washington,2011,19,11,2011-05-15,51.28571428571429,Seattle
Arizona,2011,20,124,2011-05-22,75.21428571428571,Phoenix
California,2011,20,700,2011-05-22,61.5,Los Angeles
California,2011,20,700,2011-05-22,56.35714285714285,San Francisco
Colorado,2011,20,118,2011-05-22,53.64285714285714,Denver
Georgia,2011,20,491,2011-05-22,66.64285714285714,Atlanta
Illinois,2011,20,392,2011-05-22,58.0,Chicago
New York,2011,20,57,2011-05-22,61.42857142857143,New York
Pennsylvania,2011,20,113,2011-05-22,65.35714285714286,Philadelphia
Texas,2011,20,574,2011-05-22,73.21428571428571,Dallas
Texas,2011,20,574,2011-05-22,78.5,Houston
Washington,2011,20,8,2011-05-22,53.64285714285714,Seattle
Arizona,2011,21,137,2011-05-29,82.92857142857143,Phoenix
California,2011,21,583,2011-05-29,64.35714285714286,Los Angeles
California,2011,21,583,2011-05-29,56.64285714285714,San Francisco
Colorado,2011,21,112,2011-05-29,53.5,Denver
Georgia,2011,21,373,2011-05-29,76.85714285714286,Atlanta
Illinois,2011,21,381,2011-05-29,56.5,Chicago
New York,2011,21,99,2011-05-29,68.5,New York
Pennsylvania,2011,21,95,2011-05-29,76.0,Philadelphia
Texas,2011,21,459,2011-05-29,80.35714285714286,Dallas
Texas,2011,21,459,2011-05-29,85.28571428571429,Houston
Washington,2011,21,2,2011-05-29,53.5,Seattle
Arizona,2011,22,104,2011-06-05,82.57142857142857,Phoenix
California,2011,22,581,2011-06-05,64.42857142857143,Los Angeles
California,2011,22,581,2011-06-05,57.57142857142857,San Francisco
Colorado,2011,22,88,2011-06-05,57.64285714285714,Denver
Georgia,2011,22,414,2011-06-05,83.21428571428571,Atlanta
Illinois,2011,22,516,2011-06-05,71.85714285714286,Chicago
New York,2011,22,88,2011-06-05,71.14285714285714,New York
Pennsylvania,2011,22,98,2011-06-05,75.5,Philadelphia
Texas,2011,22,487,2011-06-05,84.57142857142857,Dallas
Texas,2011,22,487,2011-06-05,85.92857142857143,Houston
Washington,2011,22,2,2011-06-05,57.64285714285714,Seattle
Arizona,2011,23,97,2011-06-12,85.71428571428571,Phoenix
California,2011,23,588,2011-06-12,64.35714285714286,Los Angeles
California,2011,23,588,2011-06-12,58.78571428571429,San Francisco
Colorado,2011,23,84,2011-06-12,58.714285714285715,Denver
Georgia,2011,23,300,2011-06-12,81.92857142857143,Atlanta
Illinois,2011,23,392,2011-06-12,68.0,Chicago
New York,2011,23,8,2011-06-12,72.92857142857143,New York
Pennsylvania,2011,23,111,2011-06-12,77.57142857142857,Philadelphia
Texas,2011,23,391,2011-06-12,85.71428571428571,Dallas
Texas,2011,23,391,2011-06-12,84.14285714285714,Houston
Washington,2011,23,3,2011-06-12,58.714285714285715,Seattle
Arizona,2011,24,80,2011-06-19,90.64285714285714,Phoenix
California,2011,24,461,2011-06-19,66.35714285714286,Los Angeles
California,2011,24,461,2011-06-19,61.714285714285715,San Francisco
Colorado,2011,24,70,2011-06-19,57.5,Denver
Georgia,2011,24,249,2011-06-19,79.78571428571429,Atlanta
Illinois,2011,24,311,2011-06-19,68.35714285714286,Chicago
New York,2011,24,5,2011-06-19,71.0,New York
Pennsylvania,2011,24,75,2011-06-19,73.21428571428571,Philadelphia
Texas,2011,24,434,2011-06-19,90.07142857142857,Dallas
Texas,2011,24,434,2011-06-19,88.85714285714286,Houston
Washington,2011,24,1,2011-06-19,57.5,Seattle
Arizona,2011,25,86,2011-06-26,96.07142857142857,Phoenix
California,2011,25,436,2011-06-26,69.35714285714286,Los Angeles
California,2011,25,436,2011-06-26,63.35714285714285,San Francisco
Colorado,2011,25,55,2011-06-26,60.57142857142857,Denver
Georgia,2011,25,214,2011-06-26,80.78571428571429,Atlanta
Illinois,2011,25,307,2011-06-26,69.42857142857143,Chicago
New York,2011,25,7,2011-06-26,72.07142857142857,New York
Pennsylvania,2011,25,81,2011-06-26,77.0,Philadelphia
Texas,2011,25,378,2011-06-26,84.64285714285714,Dallas
Texas,2011,25,378,2011-06-26,85.0,Houston
Washington,2011,25,0,2011-06-26,60.57142857142857,Seattle
Arizona,2011,26,81,2011-07-03,99.0,Phoenix
California,2011,26,426,2011-07-03,71.5,Los Angeles
California,2011,26,426,2011-07-03,62.28571428571429,San Francisco
Colorado,2011,26,45,2011-07-03,63.07142857142857,Denver
Georgia,2011,26,168,2011-07-03,81.57142857142857,Atlanta
Illinois,2011,26,379,2011-07-03,75.5,Chicago
New York,2011,26,7,2011-07-03,75.92857142857143,New York
Pennsylvania,2011,26,64,2011-07-03,77.35714285714286,Philadelphia
Texas,2011,26,323,2011-07-03,88.5,Dallas
Texas,2011,26,323,2011-07-03,87.42857142857143,Houston
Washington,2011,26,0,2011-07-03,63.07142857142857,Seattle
Arizona,2011,27,82,2011-07-10,94.71428571428572,Phoenix
California,2011,27,343,2011-07-10,75.42857142857143,Los Angeles
California,2011,27,343,2011-07-10,61.64285714285714,San Francisco
Colorado,2011,27,64,2011-07-10,64.42857142857143,Denver
Georgia,2011,27,222,2011-07-10,82.0,Atlanta
Illinois,2011,27,372,2011-07-10,77.14285714285714,Chicago
New York,2011,27,2,2011-07-10,78.64285714285714,New York
Pennsylvania,2011,27,82,2011-07-10,81.92857142857143,Philadelphia
Texas,2011,27,333,2011-07-10,91.07142857142857,Dallas
Texas,2011,27,333,2011-07-10,86.7857142857143,Houston
Washington,2011,27,0,2011-07-10,64.42857142857143,Seattle
Arizona,2011,28,95,2011-07-17,92.21428571428572,Phoenix
California,2011,28,383,2011-07-17,69.42857142857143,Los Angeles
California,2011,28,383,2011-07-17,59.92857142857143,San Francisco
Colorado,2011,28,56,2011-07-17,63.14285714285714,Denver
Georgia,2011,28,173,2011-07-17,81.07142857142857,Atlanta
